p_in,Re,Geometry
2.501662,1063.76,narrowEndBendRe
12.18895,937.24,channelStripRe
1.828597,1190.28,forwardStepRe
11.98989,608.29,channelStripRe
3.063512,279.34,narrowEndBendRe
4.454029,1544.53,rightStripBendRe
0.419397,1038.46,backwardStepRe
1.819923,1240.89,forwardStepRe
11.07389,102.22,channelStripRe
0.7971674,1822.87,bendRe
44.26773,1772.27,channelStripRe
5.764079,1089.06,leftStripBendRe
48.44085,1696.35,channelStripRe
2.437068,1974.70,narrowEndBendRe
1.861846,1089.06,forwardStepRe
0.7978996,937.24,bendRe
5.43285,203.43,rightStripBendRe
6.71272,1772.27,rightStripBendRe
2.489018,1114.37,narrowEndBendRe
1.696414,203.43,backwardStepRe
0.2762491,1620.44,channelRe
1.350328,1367.41,bendRe
8.356691,1519.23,leftStripBendRe
0.6943893,1089.06,bendRe
0.43033,734.81,channelRe
5.690383,1468.62,rightStripBendRe
12.56162,1974.70,leftStripBendRe
8.397292,51.61,leftStripBendRe
23.6176,1493.92,channelStripRe
0.7907313,962.54,bendRe
2.591633,1468.62,narrowEndBendRe
0.7367692,1013.15,bendRe
7.687615,1569.84,rightStripBendRe
1.098283,532.38,bendRe
7.903305,886.63,leftStripBendRe
0.2694269,1696.35,channelRe
1.230834,582.99,bendRe
1.667455,1898.78,forwardStepRe
0.2943563,1443.32,channelRe
11.44437,228.73,channelStripRe
0.7719396,279.34,channelRe
3.530264,152.82,narrowEndBendRe
3.804185,1797.57,rightStripBendRe
1.068545,1392.71,bendRe
2.716918,557.68,narrowEndBendRe
0.571309,709.51,backwardStepRe
1.706714,1746.96,bendRe
5.840747,1721.66,leftStripBendRe
1.679485,1797.57,forwardStepRe
1.709195,1746.96,forwardStepRe
0.2673596,1797.57,backwardStepRe
7.606013,456.47,leftStripBendRe
5.22159,836.03,rightStripBendRe
1.69165,1924.09,forwardStepRe
0.7927553,481.77,backwardStepRe
7.009842,1342.10,rightStripBendRe
2.828565,431.16,narrowEndBendRe
2.592881,1342.10,narrowEndBendRe
0.3164839,1266.19,channelRe
6.016093,810.72,rightStripBendRe
11.26592,51.61,channelStripRe
2.563425,861.33,narrowEndBendRe
0.2984952,1595.14,backwardStepRe
0.7462673,987.85,bendRe
1.624196,1873.48,bendRe
0.5888256,684.20,backwardStepRe
5.47205,380.56,rightStripBendRe
2.591996,1418.01,narrowEndBendRe
0.6361729,380.56,channelRe
1.389015,254.04,backwardStepRe
2.071184,684.20,forwardStepRe
12.21222,987.85,channelStripRe
0.8878691,836.03,bendRe
2.091794,658.90,forwardStepRe
0.3277907,1418.01,backwardStepRe
12.06247,709.51,channelStripRe
0.8430666,1443.32,bendRe
2.527883,355.25,forwardStepRe
0.9576317,228.73,bendRe
1.159188,152.82,channelRe
7.700921,1443.32,leftStripBendRe
0.4760449,886.63,backwardStepRe
2.426407,1898.78,bendRe
8.577377,507.08,leftStripBendRe
0.2497649,1949.39,channelRe
0.3063013,1544.53,backwardStepRe
1.756623,1544.53,forwardStepRe
0.2861785,1519.23,channelRe
0.4802904,608.29,channelRe
18.83856,1418.01,channelStripRe
2.639832,684.20,narrowEndBendRe
3.715808,127.52,narrowEndBendRe
2.768961,51.61,channelRe
12.13646,836.03,channelStripRe
5.912341,76.91,rightStripBendRe
0.3096352,1316.80,channelRe
4.094631,532.38,rightStripBendRe
2.137516,608.29,forwardStepRe
0.4924235,582.99,channelRe
5.840108,962.54,rightStripBendRe
3.139687,203.43,forwardStepRe
26.54668,1493.92,leftStripBendRe
1.265249,1468.62,bendRe
3.955904,1746.96,rightStripBendRe
0.2666326,1822.87,backwardStepRe
7.324459,26.30,narrowEndBendRe
6.349193,51.61,rightStripBendRe
9.554611,203.43,leftStripBendRe
10.99965,76.91,channelStripRe
1.248892,1114.37,bendRe
12.1083,785.42,channelStripRe
12.34221,1215.58,channelStripRe
0.4992657,836.03,backwardStepRe
4.510145,734.81,rightStripBendRe
1.162414,1063.76,bendRe
4.116042,1873.48,rightStripBendRe
1.071281,431.16,bendRe
15.80819,1620.44,channelStripRe
4.438144,1595.14,rightStripBendRe
0.9400097,911.94,bendRe
0.2739198,1645.75,channelRe
13.65118,1392.71,leftStripBendRe
9.643124,1848.18,leftStripBendRe
0.5253731,785.42,backwardStepRe
2.756158,507.08,narrowEndBendRe
135.8866,1848.18,channelStripRe
0.9194071,405.86,backwardStepRe
9.592856,279.34,leftStripBendRe
4.047949,911.94,rightStripBendRe
66754590.0,1291.49,leftStripBendRe
11.96891,582.99,channelStripRe
1.786469,1367.41,forwardStepRe
12.20079,962.54,channelStripRe
11.23081,152.82,channelStripRe
4.970697,1493.92,rightStripBendRe
